#FlyBase1	FlyBase2	PubMedIDs	InteractionType	Directedness
FBgn0026370	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0037339	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0005640	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0004638	FBgn0003079	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0000274	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0259174	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0259220	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0020386	FBgn0013984	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0016917	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0011817	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0038175	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0263395	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0036544	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0262716	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0046692	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0000490	FBgn0004635	9012523;9056776;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000229	FBgn0010909	12467587;10469646;9694801;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000414	FBgn0003366	9671493;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0038853	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0035812	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0039015	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0262699	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0000046	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0004360	FBgn0027343	23331499;21036869;12205098	Interaction_between_pathway_members	PPI_directed
FBgn0040068	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0259712	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0024194	FBgn0004644	23331499;16459296;21036869	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
FBgn0000117	FBgn0010303	10903184;12447392;21071413	interaction_from_external_databases	PPI_undirected
FBgn0053497,FBgn0053499	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0026370	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0000042	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0034838	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0010333	FBgn0004889	22036573;21036869	interaction_from_external_databases	PPI_undirected
FBgn0046692	FBgn0002932	22110040	Post-translational_modification	PPI_directed
